CODIGO_IES,NOMBRE_IES,TIPO_FINAN,TIPO,BASE,X,Y,DPA_PARROQ,DPA_DESPAR,DPA_CANTON,DPA_DESCAN,DPA_PROVIN,DPA_DESPRO,DPA_ANIO,txt,fcode,DPA_CAB,DA_DIST,DA_ZONA,Longitud,Latitud
1068.000000,UNIVERSIDAD INTERCULTURAL DE LAS NACIONALIDADES Y PUEBLOS INDIGENAS AMAWTAY WASI,PUBLICA,Matriz,Universidades y Escuelas Politécnicas,779435.092795,9977734.093140,"170123",MARISCAL SUCRE,"1701",DISTRITO METROPOLITANO DE QUITO,"17",PICHINCHA,"2023",PARROQUIA URBANA,HA004,"170150","17D05",9.000000,-78.48958100000,-0.20125200000
1070.000000,UNIVERSIDAD DE LOS HEMISFERIOS,PARTICULAR AUTOFINANCIADA,Matriz,Universidades y Escuelas Politécnicas,777789.829090,9980480.213200,"170127",RUMIPAMBA,"1701",DISTRITO METROPOLITANO DE QUITO,"17",PICHINCHA,"2023",PARROQUIA URBANA,HA004,"170150","17D05",9.000000,-78.50435600000,-0.17643300003
1073.000000,UNIVERSIDAD IBEROAMERICANA DEL ECUADOR,PARTICULAR AUTOFINANCIADA,Matriz,Universidades y Escuelas Politécnicas,779435.092795,9977734.093140,"170123",MARISCAL SUCRE,"1701",DISTRITO METROPOLITANO DE QUITO,"17",PICHINCHA,"2023",PARROQUIA URBANA,HA004,"170150","17D05",9.000000,-78.48958100000,-0.20125200000
1074.000000,UNIVERSIDAD POLITECNICA ESTATAL DEL CARCHI,PUBLICA,Matriz,Universidades y Escuelas Politécnicas,863578.143530,10089108.942200,"040102",TULCÁN,"0401",TULCÁN,"04",CARCHI,"2023",PARROQUIA URBANA,HA004,"040150","04D01",1.000000,-77.73407600000,0.80487799989
1077.000000,UNIVERSIDAD TECNOLOGICA ECOTEC,PARTICULAR AUTOFINANCIADA,Matriz,Universidades y Escuelas Politécnicas,627133.640260,9774547.000180,"091601",SAMBORONDÓN,"0916",SAMBORONDÓN,"09",GUAYAS,"2023",PARROQUIA URBANA,HA004,"091650","09D23",8.000000,-79.85683900000,-2.03932699998
1079.000000,UNIVERSIDAD DE LAS FUERZAS ARMADAS ESPE,PUBLICA,Matriz,Universidades y Escuelas Politécnicas,784414.198940,9965126.684200,"170501",SANGOLQUÍ,"1705",RUMIÑAHUI,"17",PICHINCHA,"2023",PARROQUIA URBANA,HA004,"170550","17D11",2.000000,-78.44485600000,-0.31519400002
1080.000000,UNIVERSIDAD REGIONAL AMAZONICA IKIAM,PUBLICA,Matriz,Universidades y Escuelas Politécnicas,849232.339955,9894812.805780,"150158",SAN JUAN DE MUYUNA,"1501",TENA,"15",NAPO,"2023",PARROQUIA RURAL,HA004,,"15D01",2.000000,-77.86268700000,-0.95022499999
1081.000000,UNIVERSIDAD DE INVESTIGACION DE TECNOLOGIA EXPERIMENTAL YACHAY,PUBLICA,Matriz,Universidades y Escuelas Politécnicas,814398.190228,10044765.147000,"100650",URCUQUÍ,"1006",SAN MIGUEL DE URCUQUÍ,"10",IMBABURA,"2023",CABECERA CANTONAL,HA004,,"10D01",1.000000,-78.17566500000,0.40450899997
1082.000000,UNIVERSIDAD DE LAS ARTES,PUBLICA,Matriz,Universidades y Escuelas Politécnicas,624470.391851,9757393.067430,"090110",ROCAFUERTE,"0901",GUAYAQUIL,"09",GUAYAS,"2023",PARROQUIA URBANA,HA004,"090150","09D03",8.000000,-79.88067200000,-2.19450900003
1083.000000,UNIVERSIDAD NACIONAL DE EDUCACION UNAE,PUBLICA,Matriz,Universidades y Escuelas Politécnicas,736690.301596,9689828.958390,"030154",JAVIER LOYOLA,"0301",AZOGUES,"03",CAÑAR,"2023",PARROQUIA RURAL,HA004,,"03D01",6.000000,-78.87088200000,-2.80424500002
3013.000000,UNIVERSIDAD DEL RIO,PUBLICA,Matriz,Universidades y Escuelas Politécnicas,619581.425995,9760693.512830,"090112",TARQUI,"0901",GUAYAQUIL,"09",GUAYAS,"2023",PARROQUIA URBANA,HA004,"090150","09D06",8.000000,-79.92465300000,-2.16468700000
3027.000000,UNIVERSIDAD BOLIVARIANA DEL ECUADOR,PUBLICA,Matriz,Universidades y Escuelas Politécnicas,632336.069732,9758925.820980,"090750",ELOY ALFARO,"0907",DURÁN,"09",GUAYAS,"2023",CABECERA CANTONAL,HA004,"090750","09D24",8.000000,-79.80995900000,-2.18058999996
3068.000000,UNIVERSIDAD DE SEGURIDAD CIUDADANA Y CIENCIAS POLICIALES - USECIPOL,PUBLICA,Matriz,Universidades y Escuelas Politécnicas,780919.470840,9992797.350260,"170177",POMASQUI,"1701",DISTRITO METROPOLITANO DE QUITO,"17",PICHINCHA,"2023",PARROQUIA RURAL,HA004,,"17D03",9.000000,-78.47626800000,-0.06510100001
3069.000000,UNIVERSIDAD PUBLICA DE SANTO DOMINGO DE LOS TSACHILAS,PUBLICA,Matriz,Universidades y Escuelas Politécnicas,702748.027321,9971935.513300,"230102",BOMBOLÍ,"2301",SANTO DOMINGO,"23",SANTO DOMINGO DE LOS TSÁCHILAS,"2023",PARROQUIA URBANA,HA004,"230150","23D02",4.000000,-79.17824600000,-0.25377900000
1002.000000,ESCUELA SUPERIOR POLITECNICA DE CHIMBORAZO,PUBLICA,SEDE,Universidades y Escuelas Politécnicas,821042.914510,9746419.984850,"140150",MACAS,"1401",MORONA,"14",MORONA SANTIAGO,"2023",CABECERA CANTONAL,HA004,,"14D01",6.000000,-78.11380100000,-2.29127899998
1002.000000,ESCUELA SUPERIOR POLITECNICA DE CHIMBORAZO,PUBLICA,SEDE,Universidades y Escuelas Politécnicas,945387.798760,9951150.850630,"220150",EL COCA (PUERTO FRANCISCO DE ORELLANA),"2201",FRANCISCO DE ORELLANA,"22",ORELLANA,"2023",CABECERA CANTONAL,HA004,,"22D02",2.000000,-77.00056800000,-0.44086999997
1003.000000,ESCUELA SUPERIOR POLITECNICA AGROPECUARIA DE MANABI MANUEL FELIX LOPEZ - ESPAM MFL,PUBLICA,CAMPUS,Universidades y Escuelas Politécnicas,-455786.136382,9898429.545210,"200151",EL PROGRESO,"2001",SAN CRISTÓBAL,"20",GALÁPAGOS,"2023",PARROQUIA RURAL,HA004,,"20D01",5.000000,-89.55827700000,-0.90863900000
1003.000000,ESCUELA SUPERIOR POLITECNICA AGROPECUARIA DE MANABI MANUEL FELIX LOPEZ - ESPAM MFL,PUBLICA,SEDE,Universidades y Escuelas Politécnicas,-455786.136382,9898429.545210,"200151",EL PROGRESO,"2001",SAN CRISTÓBAL,"20",GALÁPAGOS,"2023",PARROQUIA RURAL,HA004,,"20D01",5.000000,-89.55827700000,-0.90863900000
1006.000000,UNIVERSIDAD DE GUAYAQUIL,PUBLICA,CENTRO DE APOYO,Universidades y Escuelas Politécnicas,637488.921349,9827516.073580,"120850",VINCES,"1208",VINCES,"12",LOS RÍOS,"2023",CABECERA CANTONAL,HA004,"120850","12D05",5.000000,-79.76406300000,-1.56014700001
1006.000000,UNIVERSIDAD DE GUAYAQUIL,PUBLICA,CENTRO DE APOYO,Universidades y Escuelas Politécnicas,779955.074008,9977337.046160,"170123",MARISCAL SUCRE,"1701",DISTRITO METROPOLITANO DE QUITO,"17",PICHINCHA,"2023",PARROQUIA URBANA,HA004,"170150","17D05",9.000000,-78.48491200000,-0.20483999996
